Species,Yield class,Age to maturity
Scots Pine,14,65
Scots Pine,12,65
Scots Pine,10,70
Scots Pine,8,75
Scots Pine,6,80
Scots Pine,4,85
Corsican Pine,20,50
Corsican Pine,18,50
Corsican Pine,16,55
Corsican Pine,14,55
Corsican Pine,12,55
Corsican Pine,10,60
Corsican Pine,8,60
Corsican Pine,6,65
Lodgepole Pine,14,50
Lodgepole Pine,12,50
Lodgepole Pine,10,55
Lodgepole Pine,8,60
Lodgepole Pine,6,65
Lodgepole Pine,4,70
Sitka Spruce,24,45
Sitka Spruce,22,50
Sitka Spruce,20,50
Sitka Spruce,18,50
Sitka Spruce,16,55
Sitka Spruce,14,55
Sitka Spruce,12,60
Sitka Spruce,10,60
Sitka Spruce,8,60
Sitka Spruce,6,65
Norway Spruce,22,60
Norway Spruce,20,65
Norway Spruce,18,65
Norway Spruce,16,65
Norway Spruce,14,70
Norway Spruce,12,75
Norway Spruce,10,75
Norway Spruce,8,80
Norway Spruce,6,90
European Larch,12,45
European Larch,10,45
European Larch,8,50
European Larch,6,55
European Larch,4,55
Japanese Larch,14,40
Hybrid Larch,14,40
Japanese Larch,12,40
Hybrid Larch,12,40
Japanese Larch,10,40
Hybrid Larch,10,40
Japanese Larch,8,45
Hybrid Larch,8,45
Japanese Larch,6,45
Hybrid Larch,6,45
Japanese Larch,4,50
Hybrid Larch,4,50
Douglas Fir,24,50
Douglas Fir,22,50
Douglas Fir,20,50
Douglas Fir,18,55
Douglas Fir,16,55
Douglas Fir,14,55
Douglas Fir,12,60
Douglas Fir,10,60
Western Hemlock ,24,50
Western Hemlock ,22,55
Western Hemlock ,20,55
Western Hemlock ,18,60
Western Hemlock ,16,65
Western Hemlock ,14,70
Western Hemlock ,12,75
Western Red Cedar,24,55
Lawson Cypress,24,55
Western Red Cedar,22,60
Lawson Cypress,22,60
Western Red Cedar,20,60
Lawson Cypress,20,60
Western Red Cedar,18,65
Lawson Cypress,18,65
Western Red Cedar,16,65
Lawson Cypress,16,65
Western Red Cedar,14,65
Lawson Cypress,14,65
Western Red Cedar,12,70
Lawson Cypress,12,70
Grand Fir,30,50
Grand Fir,28,50
Grand Fir,26,50
Grand Fir,24,50
Grand Fir,22,55
Grand Fir,20,55
Grand Fir,18,55
Grand Fir,16,55
Grand Fir,14,55
Noble Fir,22,60
Noble Fir,20,65
Noble Fir,18,65
Noble Fir,16,65
Noble Fir,14,70
Noble Fir,12,70
Oak,8,65
Oak,6,70
Oak,4,80
Beech,10,75
Beech,8,80
Beech,6,90
Beech,4,95
Sycamore,12,40
Birch,12,40
Ash,12,40
Sycamore,10,40
Birch,10,40
Ash,10,40
Sycamore,8,40
Birch,8,40
Ash,8,40
Sycamore,6,45
Birch,6,45
Ash,6,45
Sycamore,4,45
Birch,4,45
Ash,4,45
Poplar,14,35
Poplar,12,35
Poplar,10,35
Poplar,8,35
Poplar,6,40
Poplar,4,40
