Tree species,Yield class,Age,Main crop after thinning number of trees,Main crop after thinning top height (m),Main crop after thinning mean diameter (cm),Main crop after thinning basal area (m2),Main crop after thinning volume in cubic meters to top diameters of 7cm,Main crop after thinning volume in cubic meters to top diameters of 18cm,Main crop after thinning volume in cubic meters to top diameters of 24cm,Yield from thinnings number of trees,Yield from thinnings mean diameter (cm),Yield from thinnings mean volume per tree (m3),Yield from thinnings volume in cubic meters to top diameters of 7cm,Yield from thinnings volume in cubic meters to top diameters of 18cm,Yield from thinnings volume in cubic meters to top diameters of 24cm,Cumulative production basal area (m2),Cumulative production volume to 7cm (m3),Increment CAI basal area (m2),Increment CAI volume to 7cm (m3),Increment MAI volume to 7cm (m3)
Scots Pine,14,15,4230,8.3,8.6,24.7,64,0,0,0,0,0,0,0,0,24.7,64,2.09,11.2,4.3
Scots Pine,14,20,2120,10.9,10.9,19.7,92,0,0,2110,9.7,0.018,37,0,0,35.3,130,2.1,14.5,6.5
Scots Pine,14,25,1275,13.2,14.2,20.3,123,8,0,845,12.2,0.058,49,1,0,45.7,209,2.04,16.8,8.4
Scots Pine,14,30,890,15.3,18.2,23.2,162,44,4,385,15.4,0.127,49,5,0,55.7,297,1.93,18.2,9.9
Scots Pine,14,35,675,17.3,22.3,26.4,206,117,29,215,19,0.229,49,17,2,65,390,1.79,18.8,11.2
Scots Pine,14,40,540,19.1,26.3,29.4,251,188,87,135,23,0.364,49,30,8,73.6,485,1.64,18.8,12.1
Scots Pine,14,45,447,20.8,30.1,31.9,296,251,162,93,27,0.532,49,38,19,81.4,578,1.5,18.4,12.8
Scots Pine,14,50,378,22.4,33.8,33.9,337,305,234,69,30.9,0.713,49,42,29,88.6,668,1.37,17.7,13.4
Scots Pine,14,55,328,23.8,37.3,35.8,376,351,296,50,34.6,0.957,47,43,34,95.1,755,1.25,16.7,13.7
Scots Pine,14,60,291,25.1,40.6,37.7,414,393,350,37,38.1,1.196,43,41,35,101.1,835,1.14,15.5,13.9
Scots Pine,14,65,263,26.3,43.7,39.5,449,431,396,28,41.4,1.449,40,38,34,106.6,910,1.04,14.3,14
Scots Pine,14,70,241,27.3,46.6,41.1,481,466,435,22,44.4,1.716,36,35,32,111.5,978,0.94,13,14
Scots Pine,14,75,224,28.2,49.3,42.8,510,497,469,17,47.2,2.012,33,32,30,116,1040,0.85,11.8,13.9
Scots Pine,14,80,211,28.9,51.7,44.3,537,525,498,13,49.8,2.266,29,28,27,120,1096,0.76,10.6,13.7
Scots Pine,14,85,200,29.6,53.9,45.6,561,550,525,11,52.1,2.443,26,25,24,123.6,1146,0.67,9.4,13.5
Scots Pine,14,90,191,30.2,55.8,46.8,582,571,547,9,54.1,2.714,23,22,21,126.7,1190,0.57,8.1,13.2
Scots Pine,14,95,184,30.7,57.5,47.8,599,589,565,7,55.8,2.985,20,19,19,129.3,1227,0.49,6.9,12.9
